Ishita Garg,8595569388,1.00,0.10
Suhani Kabra,85894837268,50000.00,5000.00
Karan Sir,698689698689,687.00,68.70
garv,34353536353,34535.00,3453.50
yatharth,34383782,454.00,45.40
ayushi,12,12.00,1.20
ravi,123,123.00,12.30
swapnil sir,1234,1234.00,123.40
blacksmith,12345,12345.00,1234.50
kallu kaliya,123456,123456.00,12345.60
justin,1234567,1234567.00,123456.70
billie,12345678,12345678.00,1234567.75
ajay sir,12345,12345.00,1234.50
maths ta,1234566788,12.00,1.20
mahi bhai,123,123.00,12.30
